year,round,date_local,kickoff_local,venue_stadium,venue_city,home_team,away_team,home_score,away_score,red_cards,yellow_cards,source_url
1986,Group E,1986-06-04,12:00,Estadio La Corregidora,Querétaro,Uruguay,West Germany,1,1,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_Group_E
1986,Group E,1986-06-04,16:00,Estadio Neza 86,Nezahualcóyotl,Scotland,Denmark,0,1,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_Group_E
1986,Group E,1986-06-08,12:00,Estadio La Corregidora,Querétaro,West Germany,Scotland,2,1,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_Group_E
1986,Group E,1986-06-08,16:00,Estadio Neza 86,Nezahualcóyotl,Denmark,Uruguay,6,1,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_Group_E
1986,Group E,1986-06-13,12:00,Estadio La Corregidora,Querétaro,Denmark,West Germany,2,0,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_Group_E
1986,Group E,1986-06-13,12:00,Estadio Neza 86,Nezahualcóyotl,Scotland,Uruguay,0,0,1.0,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_Group_E
1986,Group F,1986-06-02,16:00,Estadio Universitario,San Nicolás de los Garza (Monterrey),Morocco,Poland,0,0,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_Group_F
1986,Group F,1986-06-03,16:00,Estadio Tecnológico,Monterrey,Portugal,England,1,0,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_Group_F
1986,Group F,1986-06-06,16:00,Estadio Tecnológico,Monterrey,England,Morocco,0,0,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_Group_F
1986,Group F,1986-06-07,16:00,Estadio Universitario,San Nicolás de los Garza (Monterrey),Poland,Portugal,1,0,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_Group_F
1986,Group F,1986-06-11,16:00,Estadio Universitario,San Nicolás de los Garza (Monterrey),England,Poland,3,0,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_Group_F
1986,Group F,1986-06-11,16:00,Estadio Tres de Marzo,Zapopan,Portugal,Morocco,1,3,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_Group_F
1986,Round of 16,1986-06-15,12:00,Estadio Azteca,Mexico City,Mexico,Bulgaria,2,0,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_knockout_stage
1986,Round of 16 (a.e.t.; Belgium won 4–3 after extra time),1986-06-15,16:00,Estadio Nou Camp (Estadio León),León,Soviet Union,Belgium,3,4,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_knockout_stage
1986,Round of 16,1986-06-16,12:00,Estadio Jalisco,Guadalajara,Brazil,Poland,4,0,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_knockout_stage
1986,Round of 16,1986-06-16,16:00,Estadio Cuauhtémoc,Puebla,Argentina,Uruguay,1,0,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_knockout_stage
1986,Round of 16,1986-06-17,12:00,Estadio Olímpico Universitario,Mexico City,Italy,France,0,2,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_knockout_stage
1986,Round of 16,1986-06-17,16:00,Estadio Universitario,San Nicolás de los Garza (Monterrey),Morocco,West Germany,0,1,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_knockout_stage
1986,Round of 16,1986-06-18,12:00,Estadio Azteca,Mexico City,England,Paraguay,3,0,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_knockout_stage
1986,Round of 16,1986-06-18,16:00,Estadio La Corregidora,Querétaro,Denmark,Spain,1,5,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_knockout_stage
1986,Quarter-final (a.e.t.; France won 4–3 on penalties),1986-06-21,12:00,Estadio Jalisco,Guadalajara,Brazil,France,1,1,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_knockout_stage
1986,Quarter-final (a.e.t.; West Germany won 4–1 on penalties),1986-06-21,16:00,Estadio Universitario,San Nicolás de los Garza (Monterrey),West Germany,Mexico,0,0,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_knockout_stage
1986,Quarter-final,1986-06-22,12:00,Estadio Azteca,Mexico City,Argentina,England,2,1,,,https://en.wikipedia.org/wiki/Argentina_v_England_(1986_FIFA_World_Cup)
1986,Quarter-final (a.e.t.; Belgium won 5–4 on penalties),1986-06-22,16:00,Estadio Cuauhtémoc,Puebla,Spain,Belgium,1,1,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_knockout_stage
1986,Semi-final,1986-06-25,12:00,Estadio Jalisco,Guadalajara,West Germany,France,2,0,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_knockout_stage
1986,Semi-final,1986-06-25,16:00,Estadio Azteca,Mexico City,Argentina,Belgium,2,0,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_knockout_stage
1986,Third place play-off (a.e.t.),1986-06-28,12:00,Estadio Cuauhtémoc,Puebla,France,Belgium,4,2,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_knockout_stage
1986,Final,1986-06-29,12:00,Estadio Azteca,Mexico City,Argentina,West Germany,3,2,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_final
