year,round,date_local,kickoff_local,venue_stadium,venue_city,home_team,away_team,home_score,away_score,red_cards,yellow_cards,source_url
1974,Second Round Group A,1974-06-26,19:30,Niedersachsenstadion,Hanover,Brazil,East Germany,1,0,,,https://en.wikipedia.org/wiki/1974_FIFA_World_Cup_Group_A
1974,Second Round Group A,1974-06-30,16:00,Niedersachsenstadion,Hanover,Argentina,Brazil,1,2,,,https://en.wikipedia.org/wiki/1974_FIFA_World_Cup_Group_A
1974,Second Round Group A,1974-06-30,16:00,Parkstadion,Gelsenkirchen,East Germany,Netherlands,0,2,,,https://en.wikipedia.org/wiki/1974_FIFA_World_Cup_Group_A
1974,Second Round Group A,1974-07-03,19:30,Parkstadion,Gelsenkirchen,Argentina,East Germany,1,1,,,https://en.wikipedia.org/wiki/1974_FIFA_World_Cup_Group_A
1974,Second Round Group A,1974-07-03,19:30,Westfalenstadion,Dortmund,Netherlands,Brazil,2,0,1.0,,https://en.wikipedia.org/wiki/1974_FIFA_World_Cup_Group_A
1974,Second Round Group B,1974-06-26,16:00,Rheinstadion,Düsseldorf,Yugoslavia,West Germany,0,2,,,https://en.wikipedia.org/wiki/1974_FIFA_World_Cup_Group_B
1974,Second Round Group B,1974-06-26,19:30,Neckarstadion,Stuttgart,Sweden,Poland,0,1,,,https://en.wikipedia.org/wiki/1974_FIFA_World_Cup_Group_B
1974,Second Round Group B,1974-06-30,16:00,Waldstadion,Frankfurt,Poland,Yugoslavia,2,1,,,https://en.wikipedia.org/wiki/1974_FIFA_World_Cup_Group_B
1974,Second Round Group B,1974-06-30,19:30,Rheinstadion,Düsseldorf,West Germany,Sweden,4,2,,,https://en.wikipedia.org/wiki/1974_FIFA_World_Cup_Group_B
1974,Second Round Group B,1974-07-03,16:35,Waldstadion,Frankfurt,Poland,West Germany,0,1,,,https://en.wikipedia.org/wiki/1974_FIFA_World_Cup_Group_B
1974,Second Round Group B,1974-07-03,19:30,Rheinstadion,Düsseldorf,Sweden,Yugoslavia,2,1,,,https://en.wikipedia.org/wiki/1974_FIFA_World_Cup_Group_B
1974,Third place play-off,1974-07-06,16:00,Olympiastadion,Munich,Brazil,Poland,0,1,,,https://en.wikipedia.org/wiki/1974_FIFA_World_Cup_knockout_stage
1974,Final,1974-07-07,16:00,Olympiastadion,Munich,Netherlands,West Germany,1,2,,,https://en.wikipedia.org/wiki/1974_FIFA_World_Cup_knockout_stage
