year,match_no,round,date_local,kickoff_local,venue_stadium,venue_city,home_team,away_team,home_score,away_score,went_to_extra_time,attendance,yellow_cards,red_cards,fouls,source_url,goals,substitutions,injuries_or_cooling
2014,27,Group F,2014-06-21,13:00,Estádio Mineirão,Belo Horizonte,Argentina,Iran,1,0,False,57698,2,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_F,1,,None documented (played in Belo Horizonte)
2014,28,Group G,2014-06-21,16:00,Estádio Castelão,Fortaleza,Germany,Ghana,2,2,False,59621,1,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_G,4,,None documented (played in Fortaleza)
2014,29,Group F,2014-06-21,18:00,Arena Pantanal,Cuiabá,Nigeria,Bosnia and Herzegovina,1,0,False,40499,2,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_F,1,,None documented (played in Cuiaba)
2014,30,Group H,2014-06-22,13:00,Estádio do Maracanã,Rio de Janeiro,Belgium,Russia,1,0,False,73819,3,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_H,1,,"None documented (played at Maracana, Rio)"
2014,31,Group H,2014-06-22,16:00,Estádio Beira-Rio,Porto Alegre,South Korea,Algeria,2,4,False,42732,3,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_H,6,,None documented (played in hot/humid Porto Alegre)
2014,32,Group G,2014-06-22,18:00,Arena da Amazônia,Manaus,United States,Portugal,2,2,False,40123,1,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_G,4,,"UNOFFICIAL WATER BREAK: at ~39' during an injury stoppage in extreme heat and humidity at Arena da Amazonia, Manaus (not a formal FIFA cooling break)"
2014,33,Group B,2014-06-23,13:00,Arena Corinthians (Arena de São Paulo),São Paulo,Netherlands,Chile,2,0,False,62996,2,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_B,2,,None documented (played in Sao Paulo)
2014,34,Group B,2014-06-23,13:00,Arena da Baixada (Estádio Joaquim Américo Guimarães),Curitiba,Australia,Spain,0,3,False,39375,3,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_B,3,,None documented (played in Curitiba)
2014,35,Group A,2014-06-23,17:00,Estádio Nacional Mané Garrincha,Brasília,Cameroon,Brazil,1,4,False,69112,3,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_A,5,,None documented
2014,36,Group A,2014-06-23,17:00,Arena Pernambuco (Itaipava Arena Pernambuco),Recife,Croatia,Mexico,1,3,False,41212,4,1,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_A,4,,"None documented; straight red Ante Rebic (Croatia, 89')"
2014,37,Group D,2014-06-24,13:00,Arena das Dunas,Natal,Italy,Uruguay,0,1,False,39706,3,1,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_D,1,,"Played in Natal; Luis Suarez (Uruguay) bit Giorgio Chiellini (later banned); red card Claudio Marchisio (Italy, 59')"
2014,38,Group D,2014-06-24,13:00,Estádio Mineirão,Belo Horizonte,Costa Rica,England,0,0,False,57823,2,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_D,0,,None documented (played in Belo Horizonte)
2014,39,Group C,2014-06-24,16:00,Arena Pantanal,Cuiabá,Japan,Colombia,1,4,False,40340,2,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_C,5,,None documented (played in Cuiaba)
2014,40,Group C,2014-06-24,17:00,Estádio Castelão,Fortaleza,Greece,Ivory Coast,2,1,False,59095,5,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_C,3,,None documented (played in Fortaleza)
2014,41,Group F,2014-06-25,13:00,Estádio Beira-Rio,Porto Alegre,Nigeria,Argentina,2,3,False,43285,2,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_F,5,,None documented (played in Porto Alegre)
2014,42,Group F,2014-06-25,13:00,Arena Fonte Nova (Itaipava Arena Fonte Nova),Salvador,Bosnia and Herzegovina,Iran,3,1,False,48011,2,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_F,4,,None documented (played in Salvador)
2014,43,Group E,2014-06-25,16:00,Arena da Amazônia,Manaus,Honduras,Switzerland,0,3,False,40322,1,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_E,3,,"None documented (played in Manaus, hot/humid, evening)"
2014,44,Group E,2014-06-25,17:00,Estádio do Maracanã,Rio de Janeiro,Ecuador,France,0,0,False,73749,2,1,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_E,0,,"None documented; straight red Antonio Valencia (Ecuador, 50', foul on Digne). Played in Rio de Janeiro"
2014,45,Group G,2014-06-26,13:00,Arena Pernambuco (Itaipava Arena Pernambuco),Recife,United States,Germany,0,1,False,41876,3,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_G,1,,Played in heavy rain in Recife; no heat break
2014,46,Group G,2014-06-26,13:00,Estádio Nacional Mané Garrincha,Brasília,Portugal,Ghana,2,1,False,67540,3,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_G,3,,None documented (played in Brasilia)
2014,47,Group H,2014-06-26,17:00,Arena Corinthians (Arena de São Paulo),São Paulo,South Korea,Belgium,0,1,False,61397,2,1,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_H,1,,"None documented; red card Steven Defour (Belgium, 45'). Played in Sao Paulo"
2014,48,Group H,2014-06-26,17:00,Arena da Baixada (Estádio Joaquim Américo Guimarães),Curitiba,Algeria,Russia,1,1,False,39311,6,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_H,2,,Played in Curitiba; Russia complained a laser pointer was shone at GK Akinfeev during Algeria's equaliser (FIFA later fined Russia)
2014,49,Round of 16,2014-06-28,13:00,Estádio Mineirão,Belo Horizonte,Brazil,Chile,1,1,True,57714,6,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage,2,,Went to extra time; Brazil won 3-2 on penalties. Played in Belo Horizonte. No cooling break recorded
2014,50,Round of 16,2014-06-28,17:00,Estádio do Maracanã,Rio de Janeiro,Colombia,Uruguay,2,0,False,73804,2,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage,2,,"None documented (played at Maracana, Rio)"
2014,51,Round of 16,2014-06-29,13:00,Estádio Castelão,Fortaleza,Netherlands,Mexico,2,1,False,58817,3,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage,3,,"FIRST OFFICIAL FIFA COOLING BREAK in World Cup history: referee Pedro Proenca stopped play (around 32' and again ~75') due to extreme heat (~32-39C) and humidity at Estadio Castelao, Fortaleza"
2014,52,Round of 16,2014-06-29,17:00,Arena Pernambuco (Itaipava Arena Pernambuco),Recife,Costa Rica,Greece,1,1,True,41242,7,1,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage,2,,"Went to extra time; Costa Rica won 5-3 on penalties. Red card Oscar Duarte (Costa Rica, 66', two yellows). Played in Recife"
2014,53,Round of 16,2014-06-30,13:00,Estádio Nacional Mané Garrincha,Brasília,France,Nigeria,2,0,False,67882,1,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage,2,,None documented (played in Brasilia)
2014,54,Round of 16,2014-06-30,17:00,Estádio Beira-Rio,Porto Alegre,Germany,Algeria,2,1,True,43063,2,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage,3,,Went to extra time (2-1 aet). Played in Porto Alegre. No cooling break recorded
2014,55,Round of 16,2014-07-01,13:00,Arena Corinthians (Arena de São Paulo),São Paulo,Argentina,Switzerland,1,0,True,63255,5,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage,1,,Di Maria winner in extra time (1-0 aet). Played in Sao Paulo. No cooling break recorded
2014,56,Round of 16,2014-07-01,17:00,Arena Fonte Nova (Itaipava Arena Fonte Nova),Salvador,Belgium,United States,2,1,True,51227,2,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage,3,,Went to extra time (2-1 aet). Played in Salvador. No cooling break recorded
2014,57,Quarter-final,2014-07-04,13:00,Estádio do Maracanã,Rio de Janeiro,France,Germany,0,1,False,74240,2,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage,1,,"None documented (played at Maracana, Rio)"
2014,58,Quarter-final,2014-07-04,17:00,Estádio Castelão,Fortaleza,Brazil,Colombia,2,1,False,60342,4,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage,3,,"Neymar (Brazil) suffered a fractured vertebra after a knee from Juan Camilo Zuniga (88'), ruling him out of the rest of the tournament. Played in hot Fortaleza"
2014,59,Quarter-final,2014-07-05,13:00,Estádio Nacional Mané Garrincha,Brasília,Argentina,Belgium,1,0,False,68551,3,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage,1,,None documented (played in Brasilia)
2014,60,Quarter-final,2014-07-05,17:00,Arena Fonte Nova (Itaipava Arena Fonte Nova),Salvador,Netherlands,Costa Rica,0,0,True,51179,6,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage,0,,Goalless after extra time; Netherlands won 4-3 on penalties (Tim Krul brought on for shootout). Played in Salvador
2014,61,Semi-final,2014-07-08,17:00,Estádio Mineirão,Belo Horizonte,Brazil,Germany,1,7,False,58141,1,0,25.0,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage,8,6.0,The 'Mineirazo'; Brazil missing suspended captain Thiago Silva (yellow-card accumulation) and injured Neymar. Played in Belo Horizonte. Fouls Brazil 11 / Germany 14
2014,62,Semi-final,2014-07-09,17:00,Arena Corinthians (Arena de São Paulo),São Paulo,Netherlands,Argentina,0,0,True,63267,3,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage,0,,Goalless after extra time; Argentina won 4-2 on penalties. Played in Sao Paulo
2014,63,Third place,2014-07-12,17:00,Estádio Nacional Mané Garrincha,Brasília,Brazil,Netherlands,0,3,False,68034,5,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage,3,,None documented (played in Brasilia)
2014,64,Final,2014-07-13,16:00,Estádio do Maracanã,Rio de Janeiro,Germany,Argentina,1,0,True,74738,4,0,36.0,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_final,1,6.0,"Mario Goetze scored the winner in extra time (1-0 aet). Played at the Maracana, Rio. Fouls Germany 20 / Argentina 16. No cooling break recorded"
