year,match_no,round,date_local,kickoff_local,venue_stadium,venue_city,home_team,away_team,home_score,away_score,went_to_extra_time,attendance,yellow_cards,red_cards,fouls,source_url
2014,36,Group A,2014-06-23,17:00,Arena Pernambuco (Itaipava Arena Pernambuco),Recife,Croatia,Mexico,1,3,False,41212,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_A
2014,37,Group D,2014-06-24,13:00,Arena das Dunas,Natal,Italy,Uruguay,0,1,False,39706,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_D
2014,38,Group D,2014-06-24,13:00,Estádio Mineirão,Belo Horizonte,Costa Rica,England,0,0,False,57823,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_D
2014,39,Group C,2014-06-24,16:00,Arena Pantanal,Cuiabá,Japan,Colombia,1,4,False,40340,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_C
2014,40,Group C,2014-06-24,17:00,Estádio Castelão,Fortaleza,Greece,Ivory Coast,2,1,False,59095,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_C
2014,41,Group F,2014-06-25,13:00,Estádio Beira-Rio,Porto Alegre,Nigeria,Argentina,2,3,False,43285,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_F
2014,42,Group F,2014-06-25,13:00,Arena Fonte Nova (Itaipava Arena Fonte Nova),Salvador,Bosnia and Herzegovina,Iran,3,1,False,48011,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_F
2014,43,Group E,2014-06-25,16:00,Arena da Amazônia,Manaus,Honduras,Switzerland,0,3,False,40322,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_E
2014,44,Group E,2014-06-25,17:00,Estádio do Maracanã,Rio de Janeiro,Ecuador,France,0,0,False,73749,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_E
2014,45,Group G,2014-06-26,13:00,Arena Pernambuco (Itaipava Arena Pernambuco),Recife,United States,Germany,0,1,False,41876,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_G
2014,46,Group G,2014-06-26,13:00,Estádio Nacional Mané Garrincha,Brasília,Portugal,Ghana,2,1,False,67540,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_G
2014,47,Group H,2014-06-26,17:00,Arena Corinthians (Arena de São Paulo),São Paulo,South Korea,Belgium,0,1,False,61397,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_H
2014,48,Group H,2014-06-26,17:00,Arena da Baixada (Estádio Joaquim Américo Guimarães),Curitiba,Algeria,Russia,1,1,False,39311,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_H
2014,49,Round of 16,2014-06-28,13:00,Estádio Mineirão,Belo Horizonte,Brazil,Chile,1,1,True,57714,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage
2014,50,Round of 16,2014-06-28,17:00,Estádio do Maracanã,Rio de Janeiro,Colombia,Uruguay,2,0,False,73804,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage
2014,51,Round of 16,2014-06-29,13:00,Estádio Castelão,Fortaleza,Netherlands,Mexico,2,1,False,58817,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage
2014,52,Round of 16,2014-06-29,17:00,Arena Pernambuco (Itaipava Arena Pernambuco),Recife,Costa Rica,Greece,1,1,True,41242,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage
2014,53,Round of 16,2014-06-30,13:00,Estádio Nacional Mané Garrincha,Brasília,France,Nigeria,2,0,False,67882,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage
2014,54,Round of 16,2014-06-30,17:00,Estádio Beira-Rio,Porto Alegre,Germany,Algeria,2,1,True,43063,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage
2014,55,Round of 16,2014-07-01,13:00,Arena Corinthians (Arena de São Paulo),São Paulo,Argentina,Switzerland,1,0,True,63255,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage
2014,56,Round of 16,2014-07-01,17:00,Arena Fonte Nova (Itaipava Arena Fonte Nova),Salvador,Belgium,United States,2,1,True,51227,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage
2014,57,Quarter-final,2014-07-04,13:00,Estádio do Maracanã,Rio de Janeiro,France,Germany,0,1,False,74240,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage
2014,58,Quarter-final,2014-07-04,17:00,Estádio Castelão,Fortaleza,Brazil,Colombia,2,1,False,60342,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage
2014,59,Quarter-final,2014-07-05,13:00,Estádio Nacional Mané Garrincha,Brasília,Argentina,Belgium,1,0,False,68551,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage
2014,60,Quarter-final,2014-07-05,17:00,Arena Fonte Nova (Itaipava Arena Fonte Nova),Salvador,Netherlands,Costa Rica,0,0,True,51179,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage
2014,61,Semi-final,2014-07-08,17:00,Estádio Mineirão,Belo Horizonte,Brazil,Germany,1,7,False,58141,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage
2014,62,Semi-final,2014-07-09,17:00,Arena Corinthians (Arena de São Paulo),São Paulo,Netherlands,Argentina,0,0,True,63267,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage
2014,63,Third place,2014-07-12,17:00,Estádio Nacional Mané Garrincha,Brasília,Brazil,Netherlands,0,3,False,68034,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage
2014,64,Final,2014-07-13,16:00,Estádio do Maracanã,Rio de Janeiro,Germany,Argentina,1,0,True,74738,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_final
